epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.318,1.87058,3.41867,2.15135,0.00038,0.10484,0.00022,6e-05,2.89269,inf,7.77864,0.00062,0.00062,0.00062
2,234.372,2.25976,3.05025,2.39649,0,0,0,0,nan,nan,nan,0.00125992,0.00125992,0.00125992
3,346.487,2.00351,2.71331,2.19951,0,0,0,0,nan,nan,nan,0.00189954,0.00189954,0.00189954
4,481.976,1.89707,2.43636,2.03809,0.0001,0.04839,5e-05,1e-05,nan,nan,nan,0.0019989,0.0019989,0.0019989
5,601.304,1.65764,2.16272,1.91267,0.00046,0.15323,0.00025,7e-05,3.10978,inf,102.39,0.00199805,0.00199805,0.00199805
6,717.608,1.74727,2.17755,1.9124,0.01102,0.50806,0.00715,0.00144,2.65002,inf,6.86767,0.00199695,0.00199695,0.00199695
7,832.972,1.61482,2.04602,1.81442,0.00934,0.53226,0.00638,0.00229,nan,nan,nan,0.00199561,0.00199561,0.00199561
8,933.526,1.65156,1.91016,1.80578,0.0707,0.55645,0.05856,0.02025,1.71057,1439.49,2.49738,0.00199402,0.00199402,0.00199402
9,1045.99,1.44154,1.7005,1.71268,0.12381,0.35484,0.12584,0.06149,1.5943,197.468,1.91034,0.00199219,0.00199219,0.00199219
10,1137.87,1.47857,1.76514,1.69879,0.17228,0.37097,0.2006,0.06809,1.89051,185.761,2.6083,0.00199012,0.00199012,0.00199012
11,1253.31,1.30618,1.52609,1.60473,0.20855,0.3629,0.25109,0.13143,1.60647,161.034,2.20091,0.00198781,0.00198781,0.00198781
12,1372.88,1.39103,1.57008,1.60689,0.2115,0.34677,0.30402,0.22795,1.38222,121.252,1.89385,0.00198526,0.00198526,0.00198526
13,1446.69,1.38931,1.47847,1.64663,0.18233,0.35484,0.23738,0.13739,1.50142,149.804,1.89491,0.00198246,0.00198246,0.00198246
14,1556.88,1.19355,1.28038,1.48265,0.75751,0.3629,0.41008,0.27765,1.38376,33.0354,1.68471,0.00197943,0.00197943,0.00197943
15,1662.5,1.22378,1.36154,1.51056,0.33169,0.34677,0.40258,0.28804,1.21977,76.1667,1.5596,0.00197616,0.00197616,0.00197616
16,1759.86,1.17612,1.23575,1.47893,0.79244,0.33871,0.43333,0.24591,1.5597,2.85385,1.96261,0.00197265,0.00197265,0.00197265
17,1844.36,1.20628,1.28509,1.47019,0.93329,0.33847,0.45478,0.30908,1.34465,2.93001,1.59509,0.0019689,0.0019689,0.0019689
18,1940.06,1.17806,1.26703,1.46308,0.871,0.34677,0.48393,0.32997,1.25157,4.75724,1.49988,0.00196491,0.00196491,0.00196491
19,2038.76,1.21896,1.29752,1.4727,0.66704,0.35484,0.44947,0.31132,1.20585,9.41896,1.50192,0.00196069,0.00196069,0.00196069
20,2127.84,1.15241,1.2296,1.44126,0.80953,0.34677,0.46363,0.29029,1.19904,17.5963,1.49062,0.00195624,0.00195624,0.00195624
21,2246.37,1.20795,1.26941,1.50487,0.95963,0.34677,0.40424,0.28915,1.21525,8.92101,1.43786,0.00195155,0.00195155,0.00195155
22,2367.18,1.18869,1.23394,1.4681,0.92669,0.33871,0.42873,0.3012,1.22241,4.84523,1.50243,0.00194662,0.00194662,0.00194662
23,2490.09,1.09279,1.19924,1.3955,0.25364,0.37903,0.42136,0.29981,1.20571,90.4207,1.55145,0.00194147,0.00194147,0.00194147
24,2603.48,1.1381,1.30105,1.44318,0.64825,0.45161,0.50528,0.29238,1.17096,3.75826,1.43732,0.00193609,0.00193609,0.00193609
25,2700,1.13451,1.22335,1.41978,0.8228,0.40323,0.5079,0.32847,1.19099,2.29716,1.4408,0.00193048,0.00193048,0.00193048
26,2795.47,1.20855,1.26259,1.4595,0.83987,0.33871,0.39327,0.29047,1.16601,12.3609,1.40463,0.00192464,0.00192464,0.00192464
27,2905.81,1.18768,1.3463,1.43402,0.97551,0.33871,0.42194,0.31903,1.1118,2.38963,1.3696,0.00191858,0.00191858,0.00191858
28,3012.43,1.08347,1.18173,1.37651,0.99549,0.34677,0.52286,0.35102,1.13797,1.32381,1.45591,0.00191229,0.00191229,0.00191229
29,3122.21,1.04826,1.07477,1.35927,0.8669,0.39516,0.54793,0.37609,1.10814,1.6879,1.39615,0.00190578,0.00190578,0.00190578
30,3232.85,1.03578,1.05146,1.37729,0.9689,0.34677,0.49443,0.34223,1.16971,17.8826,1.46935,0.00189905,0.00189905,0.00189905
31,3341.1,1.09051,1.14327,1.39691,0.99142,0.34677,0.4915,0.34266,1.08106,2.25048,1.3571,0.0018921,0.0018921,0.0018921
32,3438.45,1.09052,1.20225,1.40318,0.98954,0.34677,0.50914,0.33439,1.05142,1.56918,1.30558,0.00188493,0.00188493,0.00188493
33,3534.49,1.11276,1.19635,1.4176,0.83539,0.41935,0.55852,0.37124,1.0516,1.83801,1.35068,0.00187754,0.00187754,0.00187754
34,3638.93,1.06331,1.09638,1.38086,0.99024,0.34677,0.48983,0.33457,1.20064,1.65304,1.5229,0.00186995,0.00186995,0.00186995
35,3735.46,1.0476,1.0654,1.3587,0.90962,0.33871,0.45911,0.32201,1.14454,2.90944,1.38714,0.00186213,0.00186213,0.00186213
36,3843.46,1.1112,1.24434,1.38466,0.8658,0.37097,0.54368,0.35554,1.15805,2.4712,1.45307,0.00185411,0.00185411,0.00185411
37,3940.72,1.10389,1.15361,1.43442,0.64141,0.34677,0.42204,0.29236,1.14174,23.6053,1.48022,0.00184588,0.00184588,0.00184588
38,4043.29,1.13135,1.16319,1.44789,0.98663,0.34677,0.49151,0.33152,1.11491,3.08857,1.40385,0.00183745,0.00183745,0.00183745
39,4147.47,1.08383,1.09041,1.39531,0.98322,0.34677,0.49417,0.33611,1.10516,1.12625,1.35381,0.00182881,0.00182881,0.00182881
40,4241.46,0.93273,0.95756,1.29714,0.98793,0.34677,0.4746,0.32846,1.21853,3.84686,1.42438,0.00181997,0.00181997,0.00181997
41,4320.08,1.00074,1.00862,1.34612,0.67432,0.47581,0.57651,0.38059,1.12274,1.86094,1.37537,0.00181093,0.00181093,0.00181093
42,4406.47,1.05534,1.16627,1.3733,0.99514,0.34677,0.50581,0.34939,1.1087,2.20398,1.37545,0.00180169,0.00180169,0.00180169
43,4500.63,1.00949,1.12287,1.33649,0.78731,0.42742,0.58172,0.37525,1.10051,1.57929,1.35471,0.00179225,0.00179225,0.00179225
44,4576.35,1.01518,1.05319,1.35206,0.97608,0.34677,0.49689,0.35182,1.06562,6.90354,1.36545,0.00178263,0.00178263,0.00178263
45,4676.06,1.04363,1.07062,1.37209,0.77921,0.42742,0.57062,0.3674,1.11646,3.59018,1.3755,0.00177281,0.00177281,0.00177281
46,4773.94,1.0184,1.00966,1.34963,0.98762,0.34677,0.52469,0.35928,1.09394,2.14313,1.32188,0.0017628,0.0017628,0.0017628
47,4867.33,0.98406,0.96944,1.34527,0.99666,0.34677,0.53908,0.34807,1.07631,1.02269,1.32618,0.00175261,0.00175261,0.00175261
48,4972.94,1.037,1.03181,1.35229,0.8085,0.45968,0.62169,0.39866,1.08217,2.11466,1.33492,0.00174223,0.00174223,0.00174223
49,5069.32,0.94214,0.90271,1.31589,0.86487,0.43548,0.60953,0.3929,1.03902,1.53001,1.30491,0.00173168,0.00173168,0.00173168
50,5158.2,1.01438,1.00482,1.38878,0.63737,0.45968,0.60697,0.40507,1.02628,1.73084,1.33569,0.00172095,0.00172095,0.00172095
51,5268.22,1.01603,1.00462,1.35226,0.7883,0.42742,0.58261,0.37494,1.0905,0.94497,1.37554,0.00171004,0.00171004,0.00171004
52,5374.81,0.95438,0.93422,1.3389,0.69537,0.44355,0.59235,0.38972,1.0109,0.89442,1.2874,0.00169895,0.00169895,0.00169895
53,5478.58,1.00445,0.98256,1.34512,0.71826,0.55511,0.64319,0.40001,1.09104,1.79301,1.37162,0.0016877,0.0016877,0.0016877
54,5581.21,1.0795,1.10138,1.35722,0.99406,0.34677,0.53148,0.3603,1.1128,2.3112,1.36261,0.00167628,0.00167628,0.00167628
55,5667.08,0.97284,0.98068,1.34403,0.61128,0.51997,0.61092,0.39731,1.02738,4.23221,1.32264,0.0016647,0.0016647,0.0016647
56,5782.29,1.04055,1.11233,1.37874,0.82173,0.45161,0.65182,0.39732,1.0892,1.28934,1.3352,0.00165295,0.00165295,0.00165295
57,5905.77,0.87829,0.8911,1.25626,0.72363,0.43548,0.61065,0.36605,1.14899,0.92732,1.38646,0.00164105,0.00164105,0.00164105
58,6009.05,1.08309,1.11215,1.41031,0.77586,0.53042,0.67955,0.40653,1.04742,1.28416,1.31772,0.00162899,0.00162899,0.00162899
59,6130.47,0.97803,0.92547,1.3329,0.84781,0.49418,0.63647,0.39794,1.08185,2.61983,1.32001,0.00161678,0.00161678,0.00161678
60,6247.05,0.98244,1.01096,1.31422,0.81389,0.45161,0.62793,0.3798,1.1149,1.25532,1.33021,0.00160442,0.00160442,0.00160442
61,6376.01,0.89175,0.83941,1.28709,0.57257,0.47581,0.57592,0.37778,1.05354,1.30394,1.36826,0.00159191,0.00159191,0.00159191
62,6493.44,0.87535,0.90684,1.28748,0.7153,0.55645,0.63538,0.39824,1.04775,1.11825,1.32375,0.00157926,0.00157926,0.00157926
63,6617.31,0.92504,0.93166,1.29533,0.7984,0.45161,0.61221,0.39047,1.11847,1.32536,1.36501,0.00156646,0.00156646,0.00156646
64,6721.71,1.00681,0.94563,1.34359,0.74789,0.47581,0.62577,0.4074,1.04777,0.92699,1.33051,0.00155353,0.00155353,0.00155353
65,6826.05,0.96408,0.89811,1.32061,0.84026,0.55149,0.67348,0.42238,1.03847,1.14931,1.34378,0.00154047,0.00154047,0.00154047
66,6930.28,0.99648,0.94892,1.32879,0.84389,0.50806,0.69585,0.43021,1.05098,1.34731,1.34954,0.00152727,0.00152727,0.00152727
67,7043.97,0.94364,0.9435,1.30414,0.71546,0.51613,0.65924,0.41409,1.04716,1.07965,1.33382,0.00151395,0.00151395,0.00151395
68,7153.38,0.85369,0.87068,1.24587,0.79713,0.5,0.67094,0.42125,1.02587,1.12334,1.32169,0.0015005,0.0015005,0.0015005
69,7258.14,0.93923,0.90207,1.30375,0.86917,0.44355,0.65238,0.41941,1.01792,1.06986,1.31463,0.00148694,0.00148694,0.00148694
70,7380.12,0.87335,0.81664,1.25452,0.87065,0.44355,0.61301,0.41286,1.02085,1.04458,1.30755,0.00147325,0.00147325,0.00147325
71,7508.49,0.91148,0.89542,1.29585,0.94677,0.3629,0.54892,0.38089,0.98833,0.98189,1.26017,0.00145945,0.00145945,0.00145945
72,7629.74,0.92923,0.87649,1.30094,0.85452,0.47581,0.64324,0.42404,1.00581,1.20825,1.26923,0.00144554,0.00144554,0.00144554
73,7748.68,0.88218,0.86915,1.24918,0.68803,0.45968,0.5714,0.37779,1.05314,1.31929,1.31813,0.00143152,0.00143152,0.00143152
74,7874.55,0.88653,0.87139,1.26687,0.86889,0.41129,0.6038,0.40308,0.99419,1.24448,1.26668,0.0014174,0.0014174,0.0014174
75,7996.65,0.84022,0.82079,1.2403,0.99498,0.34677,0.56694,0.37482,1.04369,1.59125,1.30398,0.00140318,0.00140318,0.00140318
76,8117.29,0.89243,0.85806,1.26506,0.65405,0.5,0.62676,0.41358,1.02828,0.92059,1.33246,0.00138886,0.00138886,0.00138886
77,8237.6,0.88644,0.861,1.26795,0.81279,0.43548,0.62006,0.41729,1.07534,1.04652,1.34166,0.00137444,0.00137444,0.00137444
78,8347.57,0.85289,1.1781,1.20886,0.83569,0.45968,0.65044,0.42255,1.02522,1.22602,1.25736,0.00135994,0.00135994,0.00135994
79,8467.32,0.91063,0.81922,1.29215,0.74524,0.49194,0.63138,0.4206,0.98236,1.04227,1.2531,0.00134535,0.00134535,0.00134535
80,8588.55,0.8766,0.82007,1.27087,0.73612,0.51613,0.6634,0.42105,1.02843,1.26313,1.27014,0.00133068,0.00133068,0.00133068
81,8699.28,0.96454,0.9062,1.31151,0.74451,0.49353,0.66472,0.41957,1.00814,1.10709,1.29795,0.00131593,0.00131593,0.00131593
82,8804.77,0.91749,0.81863,1.295,0.71509,0.53226,0.65097,0.41586,1.06214,1.04228,1.3483,0.0013011,0.0013011,0.0013011
83,8914.17,0.86944,0.79122,1.25256,0.70576,0.56099,0.66949,0.43526,1.03024,0.86605,1.31858,0.0012862,0.0012862,0.0012862
