epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44955,2.49937,3.12715,2.41134,0.7942,0.53333,0.64596,0.30409,2.04833,1.72203,2.06706,0.0001,0.0001,0.0001
2,6.74945,2.2113,2.37063,1.94444,0.79081,0.50578,0.65954,0.3349,1.92527,1.6104,1.97509,0.000219851,0.000219851,0.000219851
3,10.1327,2.42832,2.53621,2.18464,0.80353,0.46667,0.61282,0.29992,1.8798,1.54297,1.93298,0.000339078,0.000339078,0.000339078
4,13.219,2.05527,1.99199,2.0073,0.75669,0.53333,0.56454,0.27294,1.88669,1.55639,1.91855,0.000457197,0.000457197,0.000457197
5,16.1512,2.19802,2.1517,1.94654,0.77655,0.53333,0.62501,0.27973,1.87965,1.55898,1.9251,0.000573726,0.000573726,0.000573726
6,19.1489,2.039,1.89657,1.83417,0.66251,0.5242,0.55226,0.23214,1.97714,1.63659,2.03798,0.000688193,0.000688193,0.000688193
7,22.1666,1.86775,1.83783,1.75646,0.56876,0.46667,0.52232,0.19433,1.96248,1.71619,1.99407,0.000800134,0.000800134,0.000800134
8,25.2143,2.11906,1.81972,2.04614,0.41188,0.46667,0.42889,0.19361,1.95581,1.77781,1.97467,0.000909095,0.000909095,0.000909095
9,29.6232,2.04218,1.77677,2.00813,0.29679,0.53333,0.31968,0.14457,2.03028,1.94557,2.01524,0.00101464,0.00101464,0.00101464
10,34.5926,1.89309,1.92916,1.87482,0.17951,0.46667,0.24805,0.14392,1.91679,2.08113,1.92634,0.00111634,0.00111634,0.00111634
11,39.8411,1.79969,1.67584,1.75491,0.19491,0.46667,0.21791,0.119,1.92362,2.23435,1.97038,0.00121379,0.00121379,0.00121379
12,45.5278,2.01946,1.86759,1.90162,0.24247,0.6,0.27917,0.12768,2.00117,2.12996,2.05189,0.0013066,0.0013066,0.0013066
13,51.0115,2.04336,1.84792,1.85723,0.34319,0.4,0.34303,0.1339,2.0426,2.00994,2.02208,0.00139441,0.00139441,0.00139441
14,56.0416,1.99009,1.78603,1.83404,0.37027,0.33333,0.41751,0.13853,2.04779,1.92961,1.99947,0.00147688,0.00147688,0.00147688
15,60.194,1.96058,1.89657,1.82429,0.37027,0.33333,0.41751,0.13853,2.04779,1.92961,1.99947,0.00155368,0.00155368,0.00155368
16,64.1081,2.00058,1.84252,1.86933,0.32685,0.53333,0.35663,0.15535,2.16151,2.07133,2.09943,0.00162453,0.00162453,0.00162453
17,68.199,1.937,1.72623,1.74903,0.24462,0.41053,0.30326,0.14283,2.303,2.23392,2.21077,0.00167244,0.00167244,0.00167244
18,72.0359,1.87867,1.85252,1.70753,0.33958,0.46667,0.34669,0.1478,2.23764,2.23206,2.15415,0.00163303,0.00163303,0.00163303
19,76.0228,2.06052,2.01664,2.00494,0.33958,0.46667,0.34669,0.1478,2.23764,2.23206,2.15415,0.00159191,0.00159191,0.00159191
20,80.1059,1.87308,1.7386,1.69696,0.52428,0.4,0.47218,0.17882,2.10559,2.27217,2.11282,0.00154919,0.00154919,0.00154919
21,84.4863,1.97099,1.83629,1.91385,0.17338,0.26667,0.11959,0.05387,1.98722,3.43002,2.09176,0.001505,0.001505,0.001505
22,89.0034,1.84345,1.6826,1.75568,0.04078,0.33333,0.03401,0.01648,2.04264,6.09549,2.14359,0.00145945,0.00145945,0.00145945
23,93.1233,1.92587,1.90008,1.83853,0.04078,0.33333,0.03401,0.01648,2.04264,6.09549,2.14359,0.00141267,0.00141267,0.00141267
24,97.339,1.72317,1.60123,1.59563,0.03192,0.73333,0.02948,0.01263,2.17445,7.69443,2.24933,0.00136478,0.00136478,0.00136478
25,100.989,1.9303,1.82572,1.88454,0.0317,0.46667,0.02715,0.01091,2.13969,8.67912,2.19044,0.00131593,0.00131593,0.00131593
26,104.789,2.04594,1.81695,1.82215,0.02556,0.46667,0.02406,0.01013,2.14696,10.862,2.16383,0.00126623,0.00126623,0.00126623
27,108.502,1.76995,1.58357,1.61328,0.02556,0.46667,0.02406,0.01013,2.14696,10.862,2.16383,0.00121583,0.00121583,0.00121583
28,112.185,1.7117,1.54743,1.68266,0.03861,0.46667,0.03523,0.01626,2.04243,7.06221,2.08423,0.00116487,0.00116487,0.00116487
29,115.879,1.86461,1.90078,1.69193,0.05028,0.33333,0.04726,0.02266,1.95921,6.24959,2.0376,0.00111348,0.00111348,0.00111348
30,120.862,1.98493,1.64713,1.82695,0.06768,0.26667,0.06884,0.03409,1.93413,5.03681,2.03003,0.00106181,0.00106181,0.00106181
31,125.256,1.70931,1.63045,1.69453,0.06768,0.26667,0.06884,0.03409,1.93413,5.03681,2.03003,0.00101,0.00101,0.00101
32,130.378,1.70362,1.68004,1.63102,0.10551,0.46667,0.1343,0.0794,1.99695,4.38868,2.03986,0.000958187,0.000958187,0.000958187
